0,0
0.1,0.39093
0.2,0.77544
0.3,1.1476
0.4,1.5023
0.5,1.8356
0.6,2.145
0.7,2.429
0.8,2.6872
0.9,2.9203
1,3.1295
1.1,3.3163
1.2,3.4828
1.3,3.6308
1.4,3.7623
1.5,3.8792
1.6,3.9831
1.7,4.0757
1.8,4.1582
1.9,4.2321
2,4.2982
2.1,4.3576
2.2,4.4111
2.3,4.4593
2.4,4.5029
2.5,4.5424
2.6,4.5783
2.7,4.611
2.8,4.6407
2.9,4.6679
3,4.6928
3.1,4.7156
3.2,4.7365
3.3,4.7557
3.4,4.7734
3.5,4.7897
3.6,4.8047
3.7,4.8185
3.8,4.8313
3.9,4.8431
4,4.8541
4.1,4.8642
4.2,4.8736
4.3,4.8823
4.4,4.8903
4.5,4.8978
4.6,4.9048
4.7,4.9113
4.8,4.9173
4.9,4.9228
5,4.928
5.1,4.9329
5.2,4.9374
5.3,4.9416
5.4,4.9455
5.5,4.9491
5.6,4.9525
5.7,4.9556
5.8,4.9586
5.9,4.9613
6,4.9639
6.1,4.9663
6.2,4.9685
6.3,4.9706
6.4,4.9725
6.5,4.9743
6.6,4.976
6.7,4.9776
6.8,4.9791
6.9,4.9804
7,4.9817
7.1,4.9829
7.2,4.984
7.3,4.9851
7.4,4.9861
7.5,4.987
7.6,4.9878
7.7,4.9886
7.8,4.9894
7.9,4.9901
8,4.9907
8.1,4.9913
8.2,4.9919
8.3,4.9924
8.4,4.9929
8.5,4.9934
8.6,4.9938
8.7,4.9942
8.8,4.9946
8.9,4.9949
9,4.9953
