0,0.0020139
0.1,0.32024
0.2,0.63846
0.3,0.95668
0.4,1.2749
0.5,1.5931
0.6,1.8067
0.7,2.0202
0.8,2.2338
0.9,2.4473
1,2.6609
1.1,2.7753
1.2,2.8898
1.3,3.0042
1.4,3.1187
1.5,3.2331
1.6,3.2937
1.7,3.3542
1.8,3.4147
1.9,3.4752
2,3.5358
2.1,3.5721
2.2,3.6083
2.3,3.6446
2.4,3.6809
2.5,3.7172
2.6,3.7426
2.7,3.768
2.8,3.7934
2.9,3.8189
3,3.8443
3.1,3.8643
3.2,3.8842
3.3,3.9042
3.4,3.9242
3.5,3.9442
3.6,3.9609
3.7,3.9777
3.8,3.9945
3.9,4.0112
4,4.028
4.1,4.0425
4.2,4.057
4.3,4.0715
4.4,4.0861
4.5,4.1006
4.6,4.1134
4.7,4.1262
4.8,4.139
4.9,4.1518
5,4.1646
5.1,4.176
5.2,4.1873
5.3,4.1987
5.4,4.2101
5.5,4.2215
5.6,4.2317
5.7,4.2418
5.8,4.252
5.9,4.2622
6,4.2724
6.1,4.2816
6.2,4.2907
6.3,4.2999
6.4,4.309
6.5,4.3182
6.6,4.3264
6.7,4.3347
6.8,4.343
6.9,4.3512
7,4.3595
7.1,4.367
7.2,4.3745
7.3,4.382
7.4,4.3895
7.5,4.3969
7.6,4.4037
7.7,4.4106
7.8,4.4174
7.9,4.4242
8,4.431
8.1,4.4372
8.2,4.4434
8.3,4.4496
8.4,4.4558
8.5,4.462
8.6,4.4677
8.7,4.4733
8.8,4.479
8.9,4.4847
9,4.4904
