0,-0.00051919
4000,0.75628
8000,1.4367
12000,1.9924
16000,2.4073
20000,2.7102
24000,2.9339
28000,3.1069
32000,3.2476
36000,3.3661
40000,3.469
45000,3.5826
50000,3.6839
