4.9987,0.53088
5.9988,0.47238
8.0061,0.38585
9.9945,0.32333
11.999,0.27602
14.004,0.24318
15.993,0.21696
17.993,0.1956
19.994,0.17804
22,0.1632
23.992,0.15074
26,0.13987
28,0.13068
29.999,0.1223
32.001,0.11485
34.002,0.10842
36.001,0.10271
38.005,0.097699
40.007,0.093111
42.009,0.088852
44.01,0.084771
46.015,0.080908
48.02,0.07726
50.03,0.073994
52.017,0.071063
54.038,0.068437
56.045,0.065963
58.05,0.063577
60.055,0.062022
62.06,0.060007
64.065,0.057986
66.067,0.05599
68.043,0.05421
70.076,0.052798
72.078,0.051475
74.088,0.050262
76.095,0.04917
78.097,0.048217
80.1,0.047461
82.067,0.044046
84.101,0.043068
86.115,0.040678
88.118,0.040208
90.121,0.039562
92.122,0.038857
94.124,0.038137
96.127,0.037416
98.084,0.036645
100.13,0.035997
105.17,0.034311
110.17,0.032784
115.19,0.031372
120.19,0.030053
125.2,0.028816
130.22,0.027687
135.22,0.026627
140.15,0.02563
145.24,0.024782
150.25,0.023954
155.27,0.023151
160.28,0.022415
165.28,0.021703
170.29,0.021089
175.31,0.020482
180.31,0.019916
185.32,0.019318
190.33,0.018777
195.34,0.018181
200.35,0.017735
205.35,0.017362
210.37,0.016937
215.35,0.016731
220.36,0.016625
225.36,0.016377
230.36,0.015961
235.36,0.015731
240.36,0.015523
245.35,0.015337
250.36,0.015247
255.34,0.015112
260.33,0.01518
265.37,0.015223
270.36,0.014806
275.35,0.014509
280.36,0.014281
285.36,0.014135
290.35,0.01394
295.35,0.013987
300.34,0.014212
